Timestamp,Please read the information and consent form here: https://drive.google.com/file/d/1kRdjSTpTlS2eKOMMpfCXFSTewLr0nlDU/view?usp=sharing,I consider myself a frequent social media user.,I worry about the employment-related repercussions that can come from my social media posts.,I am concerned my social media posts can damage my friendships.,I fear legal consequences for my social media posts.,I’ve faced consequences / been “cancelled” for content I’ve posted on social media.,I worry that my post on social media can jeopardize my romantic relationships.,I worry about being banned or cancelled if I don’t restrain myself in terms of what I post.,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,Select the option the best completes the image,"I see myself as extraverted, enthusiastic.","I see myself as critical, quarrelsome.","I see myself as dependable, self-disciplined.","I see myself as anxious, easily upset.","I see myself as open to new experiences, complex.","I see myself as reserved, quiet.","I see myself as sympathetic, warm.","I see myself as disorganized, careless.","I see myself as calm, emotionally stable.","I see myself as conventional, uncreative.",I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I would be more willing to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,I am more hesitant to post:,"It feels wrong when an employee who needs their job, is fired.",It's desirable when employees who contribute more to the success of the company receive a larger share,How would your friends describe your political position?,"I often have tender, concerned feelings for people less fortunate than me.","I value social status and prestige, control or dominance over people and resources.",Select your age group:,Select your highest degree of completed education:,Select your employment status:,Please enter your Worker ID (it can be found in the top left corner on https://worker.mturk.com/)
3-11-2022 19:38:24,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree Moderately,Agree Strongly,Agree a Little,Neither Agree nor Disagree,Frequently,Very Frequently,4,1,2,7,1,6,3,7,8,Agree a Little,Agree Moderately,Agree Strongly,Agree a Little,Agree Strongly,Disagree a Little,Agree a Little,Disagree Moderately,Agree Moderately,Disagree Moderately,Immigrants should be better welcomed.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Blackface should not be considered cultural appropriation.,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"When it comes to climate change, it is challenging to separate science from the politics.","People who buy [PRODUCT] name, shame on you!",[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,The influx of foreigners has done irreparable damage to our community.,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""","People who buy [PRODUCT] name, shame on you!","""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[SPORTS TEAM NAME] are an embarrassment to our nation!,Systemic [Racism/Sexism] is not sufficiently substantiated.,"People who buy [PRODUCT] name, shame on you!",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Immigrants should be better welcomed.,[GENDER] should not work as [JOB TITLE].,[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is unclear to what degree vaccination protects against Omicron.,I support [POLITICAL PARTY NAME].,I support [POLITICAL PARTY NAME].,Immigrants should be better welcomed.,Agree a Little,Disagree a Little,Moderate,Disagree a Little,Agree a Little,30-35,High school or equivalent,Unemployed,A1TOER30AQUY2F
3-11-2022 19:43:03,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree a Little,Neither Agree nor Disagree,Disagree Strongly,Disagree Strongly,Rarely,Never,4,1,2,5,6,3,2,7,8,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Moderately,Neither Agree nor Disagree,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Moderately,Immigrants should be better welcomed.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,[RACIAL GROUP] people are insufferable.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"When it comes to climate change, it is challenging to separate science from the politics.","People who buy [PRODUCT] name, shame on you!",[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""","When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""","People who buy [PRODUCT] name, shame on you!",I am equally hesitant to post either statement.,I support [POLITICAL PARTY NAME].,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,"When it comes to climate change, it is challenging to separate science from the politics.",I am equally hesitant to post either statement.,It is unclear to what degree vaccination protects against Omicron.,I am equally hesitant to post either statement.,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,I am equally hesitant to post either statement.,It is unclear to what degree vaccination protects against Omicron.,Neither Agree nor Disagree,Agree Strongly,Very Left,Agree Strongly,Neither Agree nor Disagree,30-35,Associate / Bachelor's Degree,Salaried Employee,A2QTL039A5VV3I
3-11-2022 19:49:39,I've read the information consent form and give my consent to take part in the survey.,Yes,Disagree Strongly,Disagree Strongly,Disagree Strongly,Disagree Strongly,Never,Never,4,1,2,5,6,1,3,7,8,Agree Moderately,Disagree Strongly,Agree Strongly,Disagree a Little,Agree Strongly,Disagree Moderately,Agree Strongly,Disagree a Little,Agree Moderately,Disagree Strongly,Immigrants should be better welcomed.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I support [POLITICAL PARTY NAME].,Think for yourself instead of constantly trusting in government to do what's best for you.,[SPORTS TEAM NAME] are an embarrassment to our nation!,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.",[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",I support [POLITICAL PARTY NAME].,BlackLivesMatter was a movement that did more harm than good.,"People who buy [PRODUCT] name, shame on you!",Think for yourself instead of constantly trusting in government to do what's best for you.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,"When it comes to climate change, it is challenging to separate science from the politics.",BlackLivesMatter was a movement that did more harm than good.,"When it comes to climate change, it is challenging to separate science from the politics.",[NAME] was the most influential and effective Presidents in modern history.,It is unclear to what degree vaccination protects against Omicron.,It is wrong that there exists a word that only members of one race can use.,[NAME] was the most influential and effective Presidents in modern history.,It is unclear to what degree vaccination protects against Omicron.,Agree Moderately,Agree Moderately,Very Left,Agree Strongly,Disagree Strongly,30-35,Graduate Degree,Salaried Employee,A2I4PRZ9IZMKON
3-11-2022 19:55:47,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree a Little,Neither Agree nor Disagree,Disagree a Little,Disagree Moderately,Never,Occasionally,8,5,3,8,2,4,2,4,2,Agree a Little,Disagree Moderately,Agree Strongly,Disagree Strongly,Neither Agree nor Disagree,Disagree Strongly,Neither Agree nor Disagree,Disagree Moderately,Agree Strongly,Disagree a Little,Critical Race Theory does not have any academic rigor.,Systemic [Racism/Sexism] is not sufficiently substantiated.,It is wrong that there exists a word that only members of one race can use.,Critical Race Theory does not have any academic rigor.,Colonialism has done more good than harm.,"When it comes to climate change, it is challenging to separate science from the politics.",Think for yourself instead of constantly trusting in government to do what's best for you.,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,The influx of foreigners has done irreparable damage to our community.,Critical Race Theory does not have any academic rigor.,"If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.","""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""","People who buy [PRODUCT] name, shame on you!",I am equally hesitant to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Immigrants should be better welcomed.,I support [POLITICAL PARTY NAME].,"When it comes to climate change, it is challenging to separate science from the politics.",BlackLivesMatter was a movement that did more harm than good.,It is unclear to what degree vaccination protects against Omicron.,[NAME] was the most influential and effective Presidents in modern history.,It is unclear to what degree vaccination protects against Omicron.,It is wrong that there exists a word that only members of one race can use.,[NAME] was the most influential and effective Presidents in modern history.,Immigrants should be better welcomed.,Neither Agree nor Disagree,Disagree a Little,Right Leaning,Disagree a Little,Disagree a Little,30-35,Associate / Bachelor's Degree,Salaried Employee,A6M7YIG6KKHPA
3-11-2022 19:59:23,I've read the information consent form and give my consent to take part in the survey.,Yes,Disagree Strongly,Disagree Strongly,Disagree Strongly,Disagree Strongly,Never,Never,4,1,2,1,6,6,3,7,8,Disagree Moderately,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Strongly,Agree a Little,Agree Moderately,Agree Strongly,Agree Moderately,Agree a Little,Disagree a Little,Immigrants should be better welcomed.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally willing to post either statement.,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I support [POLITICAL PARTY NAME].,"People who buy [PRODUCT] name, shame on you!",[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally willing to post either statement.,I am equally willing to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,BlackLivesMatter was a movement that did more harm than good.,I am equally hesitant to post either statement.,Think for yourself instead of constantly trusting in government to do what's best for you.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,"When it comes to climate change, it is challenging to separate science from the politics.",I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,I am equally hesitant to post either statement.,It is unclear to what degree vaccination protects against Omicron.,Agree a Little,Disagree a Little,Very Left,Agree Strongly,Disagree Strongly,30-35,Associate / Bachelor's Degree,Unemployed,AUFUUD4WG9CVO
3-11-2022 20:05:39,I've read the information consent form and give my consent to take part in the survey.,Yes,Disagree Moderately,Disagree Strongly,Disagree Strongly,Disagree Strongly,Occasionally,Never,4,5,3,5,1,8,6,6,2,Disagree Moderately,Agree a Little,Disagree Strongly,Agree Moderately,Agree a Little,Agree Strongly,Agree a Little,Disagree Strongly,Agree a Little,Disagree Moderately,Immigrants should be better welcomed.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally willing to post either statement.,Critical Race Theory does not have any academic rigor.,I am equally willing to post either statement.,"When it comes to climate change, it is challenging to separate science from the politics.","People who buy [PRODUCT] name, shame on you!",[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,I am equally willing to post either statement.,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.",[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally hesitant to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,"When it comes to climate change, it is challenging to separate science from the politics.",The influx of foreigners has done irreparable damage to our community.,It is unclear to what degree vaccination protects against Omicron.,[NAME] was the most influential and effective Presidents in modern history.,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,I support [POLITICAL PARTY NAME].,It is unclear to what degree vaccination protects against Omicron.,Agree Moderately,Disagree Moderately,Left,Agree Strongly,Agree a Little,30-35,Associate / Bachelor's Degree,Salaried Employee,A1G187YBG0DVMQ
3-11-2022 20:14:02,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree a Little,Agree Moderately,Disagree Strongly,Disagree Strongly,Occasionally,Rarely,4,5,2,5,6,6,3,7,8,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree a Little,Critical Race Theory does not have any academic rigor.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally willing to post either statement.,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally willing to post either statement.,Think for yourself instead of constantly trusting in government to do what's best for you.,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[SPORTS TEAM NAME] are an embarrassment to our nation!,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,I support [POLITICAL PARTY NAME].,BlackLivesMatter was a movement that did more harm than good.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,[GENDER] should not work as [JOB TITLE].,"When it comes to climate change, it is challenging to separate science from the politics.",BlackLivesMatter was a movement that did more harm than good.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,Agree Strongly,Agree Strongly,Very Right,Agree Moderately,Disagree Moderately,25-30,High school or equivalent,Salaried Employee,A3I40B0FATY8VH
3-11-2022 21:18:11,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree Strongly,Agree Moderately,Agree Moderately,Disagree Moderately,Frequently,Very Frequently,4,1,2,5,6,6,3,4,8,Agree Moderately,Disagree Moderately,Agree Moderately,Disagree Moderately,Agree Moderately,Disagree Moderately,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Strongly,Immigrants should be better welcomed.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,[RACIAL GROUP] people are insufferable.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"When it comes to climate change, it is challenging to separate science from the politics.",Think for yourself instead of constantly trusting in government to do what's best for you.,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.",[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",I support [POLITICAL PARTY NAME].,Systemic [Racism/Sexism] is not sufficiently substantiated.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Think for yourself instead of constantly trusting in government to do what's best for you.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,"When it comes to climate change, it is challenging to separate science from the politics.",BlackLivesMatter was a movement that did more harm than good.,It is unclear to what degree vaccination protects against Omicron.,[NAME] was the most influential and effective Presidents in modern history.,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,[NAME] was the most influential and effective Presidents in modern history.,It is unclear to what degree vaccination protects against Omicron.,Agree Moderately,Agree Moderately,Moderate,Agree Moderately,Disagree Moderately,30-35,Associate / Bachelor's Degree,Salaried Employee,A1CH3TODZNQCES
3-11-2022 21:26:27,I've read the information consent form and give my consent to take part in the survey.,Yes,Disagree Strongly,Disagree Strongly,Disagree Strongly,Disagree Strongly,Never,Never,4,1,2,5,6,6,3,7,8,Disagree Strongly,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Moderately,Agree Moderately,Agree Moderately,Disagree Strongly,Agree Strongly,Disagree Moderately,I am equally willing to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally willing to post either statement.,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"When it comes to climate change, it is challenging to separate science from the politics.",Think for yourself instead of constantly trusting in government to do what's best for you.,[SPORTS TEAM NAME] are an embarrassment to our nation!,[GENDER] should not work as [JOB TITLE].,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",I am equally hesitant to post either statement.,Systemic [Racism/Sexism] is not sufficiently substantiated.,"People who buy [PRODUCT] name, shame on you!",I am equally hesitant to post either statement.,[GENDER] should not work as [JOB TITLE].,I am equally hesitant to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,The influx of foreigners has done irreparable damage to our community.,I am equally hesitant to post either statement.,[NAME] was the most influential and effective Presidents in modern history.,It is wrong that there exists a word that only members of one race can use.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,It is unclear to what degree vaccination protects against Omicron.,Agree Moderately,Agree Moderately,Right,Agree Strongly,Disagree Strongly,30-35,High school or equivalent,Salaried Employee,A3NXT3OVGL7QNR
3-11-2022 21:30:39,I've read the information consent form and give my consent to take part in the survey.,Yes,Disagree Strongly,Disagree Moderately,Disagree Strongly,Disagree Strongly,Rarely,Very Rarely,4,1,2,5,6,6,3,7,8,Disagree Strongly,Neither Agree nor Disagree,Agree a Little,Agree a Little,Agree a Little,Agree Strongly,Agree Moderately,Agree Strongly,Agree Moderately,Agree Moderately,Immigrants should be better welcomed.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally willing to post either statement.,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I support [POLITICAL PARTY NAME].,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally willing to post either statement.,I am equally willing to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally willing to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally willing to post either statement.,I am equally willing to post either statement.,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",I support [POLITICAL PARTY NAME].,I am equally hesitant to post either statement.,"People who buy [PRODUCT] name, shame on you!",I am equally hesitant to post either statement.,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,"When it comes to climate change, it is challenging to separate science from the politics.",I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,I am equally hesitant to post either statement.,It is wrong that there exists a word that only members of one race can use.,I am equally hesitant to post either statement.,It is unclear to what degree vaccination protects against Omicron.,Agree Moderately,Agree Moderately,Very Left,Agree Strongly,Disagree Strongly,30-35,High school or equivalent,Self-Employed,A3P4XZJM2DEATZ
3-11-2022 22:53:32,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Always,Always,4,1,2,5,8,5,3,2,8,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Moderately,Immigrants should be better welcomed.,Systemic [Racism/Sexism] is not sufficiently substantiated.,I am equally willing to post either statement.,[RACIAL GROUP] people are insufferable.,I am equally willing to post either statement.,I support [POLITICAL PARTY NAME].,Think for yourself instead of constantly trusting in government to do what's best for you.,[SPORTS TEAM NAME] are an embarrassment to our nation!,[GENDER] should not work as [JOB TITLE].,I am equally willing to post either statement.,I am equally willing to post either statement.,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[SPORTS TEAM NAME] are an embarrassment to our nation!,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,I support [POLITICAL PARTY NAME].,BlackLivesMatter was a movement that did more harm than good.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Immigrants should be better welcomed.,I support [POLITICAL PARTY NAME].,[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,It is unclear to what degree vaccination protects against Omicron.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is unclear to what degree vaccination protects against Omicron.,It is wrong that there exists a word that only members of one race can use.,[NAME] was the most influential and effective Presidents in modern history.,It is unclear to what degree vaccination protects against Omicron.,Agree Strongly,Agree Moderately,Very Right,Agree Moderately,Agree Moderately,35-45,Associate / Bachelor's Degree,Unemployed,AOF2BS46M7OJ7
3-11-2022 22:54:35,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree Strongly,Agree Strongly,Neither Agree nor Disagree,Disagree Strongly,Rarely,Always,4,1,2,5,6,6,3,7,8,Agree Moderately,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Moderately,Disagree Strongly,Critical Race Theory does not have any academic rigor.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"When it comes to climate change, it is challenging to separate science from the politics.",Think for yourself instead of constantly trusting in government to do what's best for you.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""","When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Critical Race Theory does not have any academic rigor.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[SPORTS TEAM NAME] are an embarrassment to our nation!,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,I support [POLITICAL PARTY NAME].,BlackLivesMatter was a movement that did more harm than good.,I am equally hesitant to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,"When it comes to climate change, it is challenging to separate science from the politics.",I am equally hesitant to post either statement.,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is wrong that there exists a word that only members of one race can use.,It is wrong that there exists a word that only members of one race can use.,[NAME] was the most influential and effective Presidents in modern history.,It is unclear to what degree vaccination protects against Omicron.,Agree a Little,Agree Strongly,Very Right,Agree Strongly,Disagree Strongly,35-45,High school or equivalent,Self-Employed,A2BK9RMC0NOIH8
3-11-2022 23:14:02,I've read the information consent form and give my consent to take part in the survey.,Yes,Agree Moderately,Agree Strongly,Agree a Little,Neither Agree nor Disagree,Frequently,Very Frequently,5,7,5,3,5,6,7,3,5,Agree a Little,Agree Moderately,Agree Strongly,Agree a Little,Neither Agree nor Disagree,Agree a Little,Agree Moderately,Agree Strongly,Neither Agree nor Disagree,Agree a Little,Immigrants should be better welcomed.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Blackface should not be considered cultural appropriation.,Critical Race Theory does not have any academic rigor.,Colonialism has done more good than harm.,I am equally willing to post either statement.,Think for yourself instead of constantly trusting in government to do what's best for you.,[SPORTS TEAM NAME] are an embarrassment to our nation!,"""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[GENDER] should not work as [JOB TITLE].,I am equally willing to post either statement.,Critical Race Theory does not have any academic rigor.,"If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.","""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""","People who buy [PRODUCT] name, shame on you!","""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[SPORTS TEAM NAME] are an embarrassment to our nation!,I am equally hesitant to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,Think for yourself instead of constantly trusting in government to do what's best for you.,Immigrants should be better welcomed.,I am equally hesitant to post either statement.,[SPORTS TEAM NAME] are an embarrassment to our nation!,The influx of foreigners has done irreparable damage to our community.,"When it comes to climate change, it is challenging to separate science from the politics.",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally hesitant to post either statement.,I support [POLITICAL PARTY NAME].,I support [POLITICAL PARTY NAME].,It is unclear to what degree vaccination protects against Omicron.,Agree Moderately,Agree Strongly,Very Left,Agree Moderately,Agree Strongly,30-35,Graduate Degree,Salaried Employee,A2Q0XPK1CBAKFA
3-11-2022 23:15:35,I've read the information consent form and give my consent to take part in the survey.,Yes,Disagree a Little,Disagree Moderately,Disagree Moderately,Disagree Strongly,Never,Very Rarely,4,1,2,5,6,6,3,8,8,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Moderately,Agree Moderately,Disagree Strongly,Agree Strongly,Disagree Moderately,Agree a Little,Disagree Moderately,Immigrants should be better welcomed.,I am equally willing to post either statement.,It is wrong that there exists a word that only members of one race can use.,I am equally willing to post either statement.,Colonialism has done more good than harm.,I am equally willing to post either statement.,Think for yourself instead of constantly trusting in government to do what's best for you.,[COLLEGE DEGREE] has no academic rigor. There are better paths to unemployment.,I am equally willing to post either statement.,I am equally willing to post either statement.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,I am equally willing to post either statement.,"If companies stopped interviewing [RACIAL GROUP] people, they could probably streamline their interview process.",I am equally willing to post either statement.,"People who buy [PRODUCT] name, shame on you!","""Until 1973 the American Psychiatric Association defined being gay as having a mental illness.""",[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,"People who buy [PRODUCT] name, shame on you!",Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,[GENDER] should not work as [JOB TITLE].,[GENDER] should not work as [JOB TITLE].,[SPORTS TEAM NAME] are an embarrassment to our nation!,BlackLivesMatter was a movement that did more harm than good.,It is unclear to what degree vaccination protects against Omicron.,Hoping [POLITICAL CANDIDATE NAME] wins the next elections!,It is unclear to what degree vaccination protects against Omicron.,It is wrong that there exists a word that only members of one race can use.,I support [POLITICAL PARTY NAME].,It is unclear to what degree vaccination protects against Omicron.,Agree a Little,Agree Moderately,Left Leaning,Agree Strongly,Disagree Strongly,35-45,Graduate Degree,Salaried Employee,A3JGYKW0YD31MG
